epoch,accuracy,loss,val_accuracy,val_loss
0,0.3647938072681427,1.333472728729248,0.39193084836006165,1.2993590831756592
1,0.6230279803276062,1.020422101020813,0.619596540927887,0.9665815830230713
2,0.7871574759483337,0.6060850620269775,0.6945244669914246,0.8221970200538635
3,0.847771942615509,0.42517825961112976,0.6945244669914246,0.8210998177528381
4,0.8823692202568054,0.33393752574920654,0.6743515729904175,0.8800389766693115
5,0.9097702503204346,0.2673969268798828,0.6945244669914246,0.9313263893127441
6,0.9305286407470703,0.21984443068504333,0.6599423885345459,0.9737080335617065
7,0.9449211359024048,0.17688140273094177,0.6599423885345459,1.0560111999511719
8,0.950733482837677,0.15833570063114166,0.6685879230499268,1.1164867877960205
9,0.9623581767082214,0.1336064338684082,0.651296854019165,1.161507248878479
10,0.9656794667243958,0.11842623353004456,0.6628242135047913,1.261209487915039
11,0.9695543646812439,0.10979226976633072,0.6541786789894104,1.3078409433364868
12,0.9712150692939758,0.1003943383693695,0.6541786789894104,1.3786232471466064
13,0.9690008163452148,0.09337804466485977,0.6628242135047913,1.362473487854004
14,0.9745364189147949,0.08463933318853378,0.6599423885345459,1.4768379926681519
15,0.973429262638092,0.08430307358503342,0.6541786789894104,1.4819860458374023
16,0.972875714302063,0.0813511312007904,0.6541786789894104,1.480302333831787
17,0.972045361995697,0.07888239622116089,0.6455331444740295,1.525331735610962
18,0.9775809645652771,0.06956583261489868,0.6426513195037842,1.6012994050979614
19,0.9753667116165161,0.07132358103990555,0.651296854019165,1.6314548254013062
20,0.9753667116165161,0.07211312651634216,0.651296854019165,1.6555801630020142
21,0.976473867893219,0.06869850307703018,0.6484149694442749,1.6623872518539429
22,0.976473867893219,0.06321622431278229,0.651296854019165,1.6611539125442505
23,0.9797951579093933,0.06465554237365723,0.651296854019165,1.7272310256958008
24,0.9775809645652771,0.06624223291873932,0.6570605039596558,1.7522642612457275
